timestamp,title,category,source,priority_score,legitimacy_score,risk_level,value_category,estimated_value_range,confidence_level,recommendation,url,key_insights,red_flags,green_flags
2025-09-03T13:09:55.754282+00:00,Monad-Testnet-bot,Ai,GitHub_Crypto_Repos (API),4,85,,,,0.8999999999999999,"RECOMMENDED: High priority, low risk. Proceed with standard verification.",https://api.github.com/repos/frankrichardhall/Monad-Testnet-bot,Testnet Activity,,
2025-09-03T13:09:55.754291+00:00,Humanity-Protocol-Airdrop-bot,Ai,GitHub_Crypto_Repos (API),3,75,,,,0.75,CONSIDER: Moderate opportunity. Research team and tokenomics thoroughly.,https://api.github.com/repos/frankrichardhall/Humanity-Protocol-Airdrop-bot,Token Distribution,,
2025-09-03T13:09:55.754311+00:00,Kite-AI-Airdrop-bot,Ai,GitHub_Crypto_Repos (API),3,75,,,,0.7,CONSIDER: Moderate opportunity. Research team and tokenomics thoroughly.,https://api.github.com/repos/frankrichardhall/Kite-AI-Airdrop-bot,Token Distribution; Staking Rewards,,
2025-09-03T13:09:55.754319+00:00,Gotchipus-NFT-Pharos-Network-Airdrop-bot,Ai,GitHub_Crypto_Repos (API),4,85,,,,0.85,"RECOMMENDED: High priority, low risk. Proceed with standard verification.",https://api.github.com/repos/frankrichardhall/Gotchipus-NFT-Pharos-Network-Airdrop-bot,Token Distribution; Testnet Activity,,
2025-09-03T13:09:58.987177+00:00,FinalProject,Layer1,GitHub_Crypto_Repos (API),4,75,,,,0.75,"RECOMMENDED: High priority, low risk. Proceed with standard verification.",https://api.github.com/repos/harshi1707/FinalProject,Token Distribution,,
2025-09-03T13:09:58.987188+00:00,Merkle-Airdrop,Ai,GitHub_Crypto_Repos (API),4,80,,,,0.75,"RECOMMENDED: High priority, low risk. Proceed with standard verification.",https://api.github.com/repos/Rayane-Boucheraine/Merkle-Airdrop,Token Distribution,,
2025-09-03T13:09:58.987222+00:00,nomadex-snapshot,Defi,GitHub_Crypto_Repos (API),3,75,,,,0.7,CONSIDER: Moderate opportunity. Research team and tokenomics thoroughly.,https://api.github.com/repos/NomadexApp/nomadex-snapshot,Token Distribution,,
2025-09-03T13:09:58.987248+00:00,Algorand_Algo-Bounty,Layer1,GitHub_Crypto_Repos (API),4,80,,,,0.8999999999999999,"RECOMMENDED: High priority, low risk. Proceed with standard verification.",https://api.github.com/repos/RohithNai537/Algorand_Algo-Bounty,Token Distribution; Staking Rewards; Governance Token,,decentralized
2025-09-03T13:09:58.987259+00:00,SolanaReferral,Layer1,GitHub_Crypto_Repos (API),4,80,,,,0.75,CONSIDER: Moderate opportunity. Research team and tokenomics thoroughly.,https://api.github.com/repos/RachitSrivastava12/SolanaReferral,Token Distribution; Staking Rewards,,
2025-09-03T13:09:58.987351+00:00,GhostLaunch,Ai,GitHub_Crypto_Repos (API),3,75,,,,0.7,CONSIDER: Moderate opportunity. Research team and tokenomics thoroughly.,https://api.github.com/repos/unspecifiedcoder/GhostLaunch,Token Distribution; Mainnet Launch,,
2025-09-03T13:09:58.987531+00:00,tokenised-real-estate-platform,Layer1,GitHub_Crypto_Repos (API),4,75,,,,0.75,CONSIDER: Moderate opportunity. Research team and tokenomics thoroughly.,https://api.github.com/repos/GraciaOllo/tokenised-real-estate-platform,Token Distribution,,
2025-09-03T13:09:58.987543+00:00,PreSale-Token,Other,GitHub_Crypto_Repos (API),3,80,,,,0.75,CONSIDER: Moderate opportunity. Research team and tokenomics thoroughly.,https://api.github.com/repos/Anton1636/PreSale-Token,Token Distribution,,
2025-09-03T13:09:58.987553+00:00,solana-faucet,Layer1,GitHub_Crypto_Repos (API),4,80,,,,0.8999999999999999,"RECOMMENDED: High priority, low risk. Proceed with standard verification.",https://api.github.com/repos/Solana-Faucet-Y/solana-faucet,Token Distribution; Testnet Activity,,
